00003_baalaaxeechia_universe-everything-around-us|baalaaxeechia
01533_b_axuuke-biwishik_kidney-stones_CGL|axuuke biwishik
01534_b_beelashisshe-iluupik_have-to-pee-a-lot_CGL|beelashisshe iluupik
01535_b_beemmasshik_bowel-movement_CGL|beemmasshik
01537-1_s_b_eenneek _go-to-bathroom_CGL|eenneek
01537-1_s_b_eenneek_go-to-bathroom_CGL|eenneek
01538_b_beelik_voidexcrete_CGL|beelik
01539_b_peelik_poop_CGL|peelik
01541_b_eelussak_constipation_CGL|eelussak
01545_b_iiuushkulushiitua_toilet-paper_CGL|iiuushkulushiitua
01547_b_peennitdiik_feces-smell_CGL|peennitdiik
01548_b_bilitpiataheetuk_fart-smell_CGL|bilitpiataheetuk
01549_b_bilitpia_fart_CGL|bilitpia
01552_b_piipia-heek_multiple-farts_CGL|piipia heek
01553_b_baalaasaxche_senses-like-intuition_CGL|baalaasaxche
01562_b_xiakaate_not-clear_CGL|xiakaate
01563_b_ishitchik_good-eyes_CGL|ishitchik
01564_b_xiakaatche_does-things-in-unclear-way_CGL|xiakaatche
01566_b_ikaaitee_interesting-to-look-at_CGL|ikaaitee
01571_b_baaikaashiak_stare_CGL|baaikaashiak
01574_b_iassialaachik_watching_CGL|iassialaachik
01577_b_hawassikaahaache_observe_CGL|hawassikaahaache
01580_b_ishtawuussikaak_look-into-their-eyes-flirtatious_CGL|ishtawuussikaak
01581_b_ishtachiachee_glare_CGL|ishtachiachee
01583_b_ikaakxaawiileaachek_give-a-dirty-look_CGL|ikaakxaawiileaachek
01587_b_ishtaaieetak_cant-see-well_CGL|ishtaaieetak
01588_b_ihaassikaak_looked-over-the-other-way_CGL|ihaassikaak
01589_b_ikaassaak_didnt-see_CGL|ikaassaak
01590_b_ikaawiakaashiik_really-wants-to-see_CGL|ikaawiakaashiik
01591_b_ishtawishiik_always-wants-to-see_CGL|ishtawishiik
01593_b_awasahkaakikee_watch-over_CGL|awasahkaakikee
01595_b_iassuukaashik_watch-carefully_CGL-2|iassuukaashik
01597_b_akbaaikee_one-who-watches_CGL|akbaaikee
01601_b_ikahcheek_show-someone_CGL|ikahcheek
01602_b_iasseehchek_having-someone-watch-guard_CGL-2|iasseehchek
01606_b_asaalaachik_sticking-out-in-view-visible_CGL|asaalaachik
01607_b_xiasseetak_easy-to-see_CGL|xiasseetak
01610_b_baaiilaxia_show-something-off_CGL|baaiilaxia
01611_b_daanmelihcheek_parading_CGL|daanmelihcheek
01612_b_kaawialakkoote_can-see_CGL|kaawialakkoote
01612_s_b_kaawialakkoote_can-see_CGL|kaawialakkoote
01615_b_xiakaatak_hard-to-see_CGL|xiakaatak
01621_b_alaikaataahile_in-plain-sight_CGL|alaikaataahile
01623_b_chissheelee_block-from-view_CGL|chissheelee
01628_b_alikawiishik_can-see_CGL|alikawiishik
01630_b_aalikaataahiluan_in-plain-sight_CGL|aalikaataahiluan
01631_b_kakiikuushchik_reappear_CGL|kakiikuushchik
01639_b_haamnalawe_faded-away_CGL-2|haamnalawe
01641_b_chussikak_can-be-seen-through_CGL|chussikak
01642_b_aweelassikaak_look-outside_CGL|aweelassikaak
01644_b_shiiche_murky_CGL|shiiche
01645_b_shishtee_unclear_CGL|shishtee
01646_b_chussikahsaak_cant-see-through_CGL|chussikahsaak
01655_b_saapaak-chicheelichik_looks-like-something_CGL|saapaak chicheelichik
01656_b_baschemechichelichuk_looks-caucasian_CGL|baschemechichelichuk
01656-1_b_baashchiile-chicheelichi_looks-caucasian_CGL|baashchiile chicheelichi
01657_b_iilaabisaachik_looks-good-of-them_CGL|iilaabisaachik
01658_b_aappeelichuk_goes-with-it_CGL|aappeelichuk
01669_b_ittaacheek_make-look-good_CGL|ittaacheek
01669_s_b_ittaacheek_make-look-good_CGL|ittaacheek
01671_b_iisaakuamiaxeelak_in-between_CGL|iisaakuamiaxeelak
01672_b_iiwaachilua_binoculars_CGL|iiwaachilua
01674_b_iiwwalaamme_what-I-read-with-reading-glasses_CGL|iiwwalaamme
01675_b_baleishtakisse-shipite_dark-glasses_CGL|baleishtakisse shipite
01676_b_baleishte-iaxua_covering-for-eyes_CGL|baleishte iaxua
01676_s_b_baleishte-iaxua_covering-for-eyes_CGL|baleishte iaxua
01677_b_iiwaaikua_something-to-see-with |iiwaaikua
01677_b_iiwaaikua_something-to-see-with|iiwaaikua
01680_b_iikuukkussaak_didnt-hear_CGL|iikuukkussaak
01684_b_iiwaa-ikukko-itchiik_has-good-hearing_CGL|iiwaa ikukko itchiik
01685_b_iikuukuitchiik_heard-well_CGL|iikuukuitchiik
01686_b_iiwaaiikukaache_hearing-aid_CGL|iiwaaiikukaache
01686-1_b_iiwaaiikukko_hearing-aid_CGL|iiwaaiikukko
01689_b_baaiikuukuhsak_doesnt-listen_CGL|baaiikuukuhsak
01694_b_iikuukuwiak_wants-to-hear_CGL|iikuukuwiak
01696_b_ikuukussaa--k_didnt-listen_CGL|ikuukussaak
01697_b_akuuxe-baailutchiikik_got-an-earful_CGL|akuuxe baailutchiikik
01698_b_ahkuuxbatchiia_listening-diligently_CGL|ahkuuxbatchiia
01700_b_akbaaiikuukko_listener_CGL|akbaaiikuukko
01705_b_ahkupishi_listen_CGL|ahkupishi
01746_s_b_iliisshehissaakaasshek_scream-loud_CGL|iliisshehissaakaasshek
01778_b_xiasseetak_clear-easy-to-hear_CGL|xiasseetak
01779_b_xiakaatak_hard-to-hear_CGL|xiakaatak
01780_b_aapchitchiik_good-voice_CGL|aapchitchiik
01781_b_baalaaxitchiik_good-singing-voice_CGL|baalaaxitchiik
01782_b_aapchaiakaateek_small-voice_CGL|aapchaiakaateek
01783_b_buuoolitchichiik_good-back-up-singer_CGL|buuoolitchichiik
01784_b_kuummiiwaatchaachik_good-singer_CGL|kuummiiwaatchaachik
01785_b_baalaxxaawiik_bad-singer_CGL|baalaxxaawiik
01787_b_baasaxpikaashek_made-a-lot-of-noise_CGL|baasaxpikaashek
01790_b_xaawuatee_rippling_CGL|xaawuatee
01795_b_huutchekooshiik_whistling-wind_CLG|huutchekooshiik
01797_b_bilaxxahche-poppsseetak_popping-fire_CGL|bilaxxahche poppsseetak
01798_b_iliahaache_cooing_CGL|iliahaache
01801_b_suua-taxetak_thunder_CGL|suua taxetak
01803_b_taaxehiisee_loud-crack-sound_CGL|taaxehiisee
01804_b_paahcheek_sound-of-a-horn-car-horn-train-horn_CGL|paahcheek
01805_b_saaxpishtak_loud_CGL|saaxpishtak
01806_b_chiilisshiak_noisy_CGL|chiilisshiak
01807_b_bachiiliiliikuusuuk_cant-hear-each-other_CGL|bachiiliiliikuusuuk
01808_b_iipiakaatexuuk_like-magpies-loud_CGL|iipiakaatexuuk
01813_b_hiisaalaawik_volume-increasing_CGL|hiisaalaawik
01820_b_aapchexaawiik_loud-voice_CGL|aapchexaawiik
01820_s_b_aapchexaawiik_loud-voice_CGL|aapchexaawiik
01821_b_aapchexaawikaatek_raspy-voice_CGL|aapchexaawikaatek
01821_s_b_aapchexaawikaatek_raspy-voice_CGL|aapchexaawikaatek
01822_b_baalaatchiikaatek_well-behaved_CGL|baalaatchiikaatek
01822_s_b_baalaatchiikaatek_well-behaved_CGL|baalaatchiikaatek
01824_b_chitchiseetaak_quiet_CGL|chitchiseetaak
01824_s_b_chitchiseetaak_quiet_CGL|chitchiseetaak
01829_axxii_move-aside-move-away-_FemaleCitation_CGL_1|axxii
01829_axxii_move-aside-move-away-_FemaleStem_CGL_1|axxii
01830_axxiia_move-someonesomething-asi_FemaleCitation_CGL_1|axxiia
01830_axxiia_move-someonesomething-asi_FemaleStem_CGL_1|axxiia
01830_axxiia_move-someonesomething-asi_FemaleStem_CGL_2|axxiia
01834_b_awaxooskuupiik_salty_CGL|awaxooskuupiik
01839_b_koot-kuupik_tastes-like_CGL|koot kuupik
01839_s_b_koot-kuupik_tastes-like_CGL|koot kuupik
01840_b_baakooteeta_not-comparable-to-anything_CGL|baakooteeta
01840_s_b_baakooteetak_not-comparable-to-anything_CGL|baakooteetak
01841_b_kuupihaata_tastes-funny_CGL|kuupihaata
01841_s_b_kuupihaatak_tastes-funny_CGL|kuupihaatak
01842_b_ala-kuupe-ihaatachii_something-that-tastes-funny_CGL|ala kuupe ihaatachii
01842_s_ala-kuupe-ihaatachiik_something-that-tastes-funny_CGL|ala kuupe ihaatachiik
01843_b_kuupisaa_not-enough-taste_CGL|kuupisaa
01843_s_b_kuupisaak_not-enough-taste_CGL|kuupisaak
01844_b_kuupkasshi_too-strong_CGL|kuupkasshi
01844_s_b_kuupkasshik_too-strong_CGL|kuupkasshik
01845_b_ala-kuupe-kookaatela_taste-is-perfect_CGL|ala kuupe kookaatela
01845_s_b_ala-kuupe-kookaatelak_taste-is-perfect_CGL|ala kuupe kookaatelak
01847_b_chikuakaata_very-very-sweet_CGL|chikuakaata
01847_s_b_chikuakaatak_very-very-sweet_CGL|chikuakaatak
01848_b_saapiikaata_tender-meat_CGL|saapiikaata
01848_s_b_saapiikaatak_tender-meat_CGL|saapiikaatak
01853_b_awaxoasshipite-kupi_tastes-like-pepper_CGL|awaxoasshipite kupi
01853_s_b_awaxoasshipite-kupik_tastes-like-pepper_CGL|awaxoasshipite kupik
01857_aliisaanneeta_no-exit_FemaleCitation_CGL_1610995550961|aliisaanneeta
01857_aliisaanneeta_no-exit_FemaleStem_CGL_1610995563625|aliisaanneeta
01858_b_duupbiataahili_trying-to-smell_CGL|duupbiataahili
01858_s_b_duupbiataahilik_trying-to-smell_CGL|duupbiataahilik
01863_b_ilitbiishi_has-a-smell_CGL|ilitbiishi
01863_s_b_ilitbiishik_has-a-smell_CGL|ilitbiishik
01864_b_ilitdeeta_no-smell_CGL|ilitdeeta
01864_s_b_ilitdeetak_no-smell_CGL|ilitdeetak
01865_b_ilitaache_odor_CGL|ilitaache
01869_b_xaapxaahpia_flat-cedar_CGL|xaapxaahpia
01872_b_uukshinnitdia_smells-like-armpit_CGL|uukshinnitdia
01872_s_b_uukshinnitdik_smells-like-armpit_CGL|uukshinnitdik
01873_b_bitxualittia_onion-smell_CGL|bitxualittia
01873_s_b_bitxualittik_onion-smell_CGL|bitxualittik
01874_b_peennitik_poopy-smell_CGL|peennitik
01874_s_b_peennitik_poopy-smell_CGL|peennitik
01877_b_bishalitdik_smells-like-dog_CGL|bishalitdik
01877_s_b_bishalitdik_smells-like-dog_CGL|bishalitdik
01878_b_iichbiiwishkalitdiik_smells-like-cat-pee_CGL|iichbiiwishkalitdiik
01878_s_b_iichbiiwishkalitdiik_smells-like-cat-pee_CGL|iichbiiwishkalitdiik
01879_b_baapualitdik_smells-rotten_CGL|baapualitdik
01879_s_b_baapualitdik_smells-rotten_CGL|baapualitdik
01880_baaluxuualitdik_smells-like-urine-pee_CGL|baaluxuualitdik
01880_s_baaluxuualitdik_smells-like-urine-pee_CGL|baaluxuualitdik
01881_b_kaanitdik_smells-like-a-kaale-old-lady_CGL|kaanitdik
01881_s_b_kaanitdik_smells-like-a-kaale-old-lady_CGL|kaanitdik
01882_b_isaahkalitdiik_smells-like-old-man_CGL|isaahkalitdiik
01882_s_b_isaahkalitdiik_smells-like-old-man_CGL|isaahkalitdiik
01883_b_taalaalitdik_smells-like-gas_CGL|taalaalitdik
01883_s_b_taalaalitdik_smells-like-gas_CGL|taalaalitdik
01884_b_baa-lakkapelitdik_smells-like-smudge_CGL|baalakkapelitdik
01884_s_b_baa-lakkapelitdik_smells-like-smudge_CGL|baalakkapelitdik
01886_b_baa-alaxxualitdik_smells-like-fried-food-smoke_CGL|baaalaxxualitdik
01886_s_b_baa-alaxxualitdik_smells-like-fried-food-smoke_CGL|baaalaxxualitdik
01888_b_oopditik_smells-like-cigarettes_CGL|oopditik
01888_s_b_oopditik_smells-like-cigarettes_CGL|oopditik
01889_b_ooppualitdik_smells-like-rotten-cigarettes_CGL|ooppualitdik
01889_s_b_ooppualitdik_smells-like-rotten-cigarettes_CGL|ooppualitdik
01890_b_uushditdik_smells-like-butt_CGL|uushditdik
01890_s_b_uushditdik_smells-like-butt_CGL|uushditdik
01891_b_ooppatditdik_smells-like-marijuana_CGL|ooppatditdik
01891_s_b_ooppatditdik_smells-like-marijuana_CGL|ooppatditdik
01892_b_bitlikawiilitdik_smells-like-alcohol_CGL|bitlikawiilitdik
01892_s_b_bitlikawiilitdik_smells-like-alcohol_CGL|bitlikawiilitdik
01893_uuwuua-ilitshiak_bad-breath_CGL-2|uuwuua ilitshiak
01893-1_b_iiliahe-ilitshiak_bad-breath_CGL|iiliahe ilitshiak
01893-1_s_b_iiliahe-ilitshiak_bad-breath_CGL|iiliahe ilitshiak
01894_b_ilitbaatchaachik_strong-smell_CGL|ilitbaatchaachik
01894_s_b_ilitbaatchaachik_strong-smell_CGL|ilitbaatchaachik
01895_b_ilitbishtalanneetak_strong-smell_CGL|ilitbishtalanneetak
01895_s_b_ilitbishtalanneetak_strong-smell_CGL|ilitbishtalanneetak
01896_b_ilitbishbiak_beginning-to-smell_CGL|ilitbishbiak
01896_s_b_ilitbishbiak_beginning-to-smell_CGL|ilitbishbiak
01897_b_ilitbishimma_will-have-a-smell_CGL|ilitbishimma
01897_s_b_ilitbishimma_will-have-a-smell_CGL|ilitbishimma
01898_b_ilitdeetimma_will-not-have-a-smell_CGL|ilitdeetimma
01898_s_b_ilitdeetimma_will-not-have-a-smell_CGL|ilitdeetimma
01899_b_ilitcheala-achichia-k_smell-is-spreading_CGL|ilitcheala achichiak
01899_s_b_ilitcheala-achichia-k_smell-is-spreading_CGL|ilitcheala achichiak
01901_b_apeeluchkape_pinch-nose_CGL|apeeluchkape
01901_s_b_apeeluchkape_pinch-nose_CGL|apeeluchkape
01902_b_uuwuuakoo-ii-iliahe_breathe-through-mouth_CGL|uuwuuakoo ii iliahe
01902_s_b_uuwuuakoo-ii-iliahe_breathe-through-mouth_CGL|uuwuuakoo ii iliahe
01903_b_daxpepualitdik_smells-like-rotten-hide_CGL|daxpepualitdik
01903_s_b_daxpepualitdik_smells-like-rotten-hide_CGL 2|daxpepualitdik
01903_s_b_daxpepualitdik_smells-like-rotten-hide_CGL|daxpepualitdik
01912_s_b_daksanneetak_startled_CGL|daksanneetak
01914_b_axuassaasheek_fatigue_CGL|axuassaasheek
01914_s_b_axuassaasheek_fatigue_CGL|axuassaasheek
01915_b_tawaasaak_sweat_CGL|tawaasaak
01915_s_b_tawaasaak_sweat_CGL|tawaasaak
01917_b_baluxeetak_very-cold-icy_CGL|baluxeetak
01917_s_b_baluxeetak_very-cold-icy_CGL|baluxeetak
01921_b_passahsakaautak_prickly-feeling_CGL|passahsakaautak
01921_b_s_passahsakaautak_prickly-feeling_CGL|passahsakaautak
01922_b_xaxaakaate_rough_CGL|xaxaakaate
01926_b_xiaxssaahiik_bumpy_CGL|xiaxssaahiik
01926_s_b_xiaxssaahiik_bumpy_CGL|xiaxssaahiik
01927_b_patchiahe_grooved-texture_CGL|patchiahe
01928_b_chuukeetak_slick-feeling_CGL|chuukeetak
01929_b_xaliak_itchy_CGL|xaliak
01930_b_oossaaheetak_burning-sensation_CGL|oossaaheetak
01930_s_b_oossaaheetak_burning-sensation_CGL|oossaaheetak
01931_b_eelappiteendituatak_feel-like-they-were-punched-in-the-stomach_CGL|eelappiteendituatak
01931_s_b_eelappiteendituatak_feel-like-they-were-punched-in-the-stomach_CGL|eelappiteendituatak
01934_b_dusshichiwiokoote_touchable_CGL|dusshichiwiokoote
01935_b_annusshituuleete_untouchable_CGL|annusshituuleete
01935_s_b_annusshituuleete_untouchable_CGL|annusshituuleete
01937_b_ihawikua_put-to-sleep_CGL|ihawikua
01938_b_kalaaxtiio_made-to-forget_CGL|kalaaxtiio
01939_b_baakoonmaalichik_all-is-well-with-me_CGL|baakoonmaalichik
01939_s_b_baakoonmaalichik_all-is-well-with-me_CGL|baakoonmaalichik
01941_b_taweekaasissaak_not-too-hot_CGL|taweekaasissaak
01941_s_b_taweekaasissaak_not-too-hot_CGL|taweekaasissaak
01942_b_iluxualitchiik_relaxing-well_CGL|iluxualitchiik
01942_s_b_iluxualitchiik_relaxing-well_CGL|iluxualitchiik
01943_b_itawaalichiik_all-is-good_CGL|itawaalichiik
01943_s_b_itawaalichiik_all-is-good_CGL|itawaalichiik
01944_b_baalaskootdeetak_good-feeling_CGL|baalaskootdeetak
01944_s_b_baalaskootdeetak_good-feeling_CGL|baalaskootdeetak
01946_b_ihkaaliichiik_relaxing_CGL|ihkaaliichiik
01946_s_b_ihkaaliichiik_relaxing_CGL|ihkaaliichiik
01951_b_iiweeittatdetak_nothing-is-good-with-me_CGL|iiweeittatdetak
01951_s_b_iiweeittatdetak_nothing-is-good-with-me_CGL|iiweeittatdetak
01953_b_daasdutchikik_worried_CGL|daasdutchikik
01953_s_b_daasdutchikik_worried_CGL|daasdutchikik
01955_b_itchiisaak_not-good_CGL|itchiisaak
01955_s_b_itchiisaak_not-good_CGL|itchiisaak
01956_b_alwaachebiichuak_crooked-chair_CGL|alwaachebiichuak
01956_s_b_alwaachebiichuak_crooked-chair_CGL|alwaachebiichuak
01957_b_alawaachitcheleete_no-good-seating_CGL|alawaachitcheleete
01957_s_ b_alawaachitcheleete_no-good-seating_CGL|alawaachitcheleete
01957_s_b_alawaachitcheleete_no-good-seating_CGL|alawaachitcheleete
01958_b_alaxapitcheleetak_no-good-place-to-lay-down_CGL|alaxapitcheleetak
01958_s_b_alaxapitcheleetak_no-good-place-to-lay-down_CGL|alaxapitcheleetak
01959_b_alawaachexiaxissaahik_seating-is-lumpy_CGL|alawaachexiaxissaahik
01959_s_b_alawaachexiaxissaahik_seating-is-lumpy_CGL|alawaachexiaxissaahik
01961_b_ammaalissheleete_no-illness_CGL|ammaalissheleete
01961_s_b_ammaalissheleete_no-illness_CGL|ammaalissheleete
01962_b_itaalahkuk_doing-well_CGL|itaalahkuk
01962_s_b_itaalahkuk_doing-well_CGL|itaalahkuk
01963_b_isshiio_camping_CGL|isshiio
01963_s_b_iisshiio_camping_CGL|iisshiio
01965_b_ishuaale_soreness-in-shoulder_CGL|ishuaale
01965_b_s_ishuaale_soreness-in-shoulder_CGL|ishuaale
01966_b_baxuaale_soreness-in-my-body_CGL|baxuaale
01966_s_b_baxuaale_soreness-in-my-body_CGL|baxuaale
01968_b_baatuutchik_tough_CGL|baatuutchik
01968_s_b_baatuutchik_tough_CGL|baatuutchik
01969_b_baaanniheek_very-physically-able_CGL|baaanniheek
01969_s_b_baaanniheek_very-physically-able_CGL|baaanniheek
01970_b_axuasaahtchik_thick-body_CGL|axuasaahtchik
01970_s_b_axuasaahtchik_thick-body_CGL|axuasaahtchik
01972_b_iilasheexiaxiisaaik_see-bare-muscles-musclebound-muscular_CGL|iilasheexiaxiisaaik
01976_b_baahimmaatchechik_very-able-worker_CGL|baahimmaatchechik
01976_s_b_baahimmaatchechik_very-able-worker_CGL|baahimmaatchechik
01979_b_baatcheelachek_very-able-do-alot-of-things_CGL|baatcheelachek
01979_s_b_baatcheelachek_very-able-do-alot-of-things_CGL|baatcheelachek
01981_b_sheebaaleek_weak_CGL|sheebaaleek
01981_s_b_sheebaaleek_weak_CGL|sheebaaleek
01984_b_paachiik_puny-runt_CGL|paachiik
01984_s_b_paachiik_puny-runt_CGL|paachiik
01988_b_baawaatuuk_physically-vulnerable_CGL|baawaatuuk
01988_s_b_baawaatuuk_physically-vulnerable_CGL|baawaatuuk
01993_b_iluuhammawik_make-someone-lose-strength-weary_CGL|iluuhammawik
01993_b_s_iluuhammawik_make-someone-lose-strength-weary_CGL|iluuhammawik
01994_b_datchitchee_tire-someone-out_CGL|datchitchee
01994_s_b_datchitchee_tire-someone-out_CGL|datchitchee
01995_b_baashaawee_slow-someone-down-lose-their-wind-run-them-down|baashaawee
01996_b_xachiissaasak_cant-stop-moving_CGL|xachiissaasak
01996_s_b_xachiissaasak_cant-stop-moving_CGL|xachiissaasak
01997_b_iiotchialeetak_non-stop_CGL|iiotchialeetak
01997_s_b_iiotchialeetak_non-stop_CGL|iiotchialeetak
02000_b_daachbeeluusheeluuaisheebeetak_weight-on-shoulders-ready-to-drop_CGL|daachbeeluusheeluuaisheebeetak
02000_s_b_daachbeeluusheeluuaisheebeetak_weight-on-shoulders-ready-to-drop_CGL|daachbeeluusheeluuaisheebeetak
02001_b_baasahssak_cant-go-any-further-even-though-you-try_CGL|baasahssak
02001_s_b_baasahssak_cant-go-any-further-even-though-you-try_CGL|baasahssak
02004_b_ihawashik_he-is-sleepy_CGL|ihawashik
02004_s_b_ihawashik_he-is-sleepy_CGL|ihawashik
02005_b_ishtakxabiichik_eyelids-heavy-drowsy_CGL|ishtakxabiichik
02005_s_b_ishtakxabiichik_eyelids-heavy-drowsy_CGL|ishtakxabiichik
02008_b_iiliaheekaashik_panting_CGL|iiliaheekaashik
02008_s_b_iiliaheekaashik_panting_CGL|iiliaheekaashik
2010_awelichi_hit-the-ground_CGL|awelichi
2010_s_awelichi_hit-the-ground_CGL|awelichi
2014_axuashehche_to-relax_CGL|axuashehche
2014_s_axuashehche_to-relax_CGL|axuashehche
2019_ihawikammi_got-enough-sleep_CGL|ihawikammi
2019_s_ihawikammi_got-enough-sleep_CGL|ihawikammi
2020_batchilaachi_sound-health_CGL|batchilaachi
2020_s_batchilaachi_sound-health_CGL|batchilaachi
2021_ihchiwasaa_exercise_CGL|ihchiwasaa
2021_s_ihchiwasaa_exercise_CGL|ihchiwasaa
2022_baaluusitchee_food-that-is-good-for-you_CGL|baaluusitchee
2022_s_baaluusitchee_food-that-is-good-for-you_CGL|baaluusitchee
2023_s_baalakootkaashekoolushi_health-food_CGL|baalakootkaashekoolushi
2028_baleannee-xawiia_severe-illness_CGL|baleannee xawiia
2031_ammaalasshihche-xapii_loss-of-memory_CGL|ammaalasshihche xapii
2031_s_ammaalasshihche-xapii_loss-of-memory_CGL|ammaalasshihche xapii
2033_apte-haawi_cirrhosis_CGL|apte haawi
2033_s_apte-haawi_cirrhosis_CGL|apte haawi
2035_iileeta_loss-of-teeth_CGL|iileeta
2035_s_iileeta_loss-of-teeth_CGL|iileeta
2038_axuasatchitchee_rash_CGL|axuasatchitchee
2038_s_axuasatchitchee_rash_CGL|axuasatchitchee
2044_baakuhpaashtakaata_a-little-sick_GCL|baakuhpaashtakaata
2044_s_baakuhpaashtakaata_a-little-sick_GCL|baakuhpaashtakaata
2045_huashtakaata_slight-cough-fever_GCL|huashtakaata
2045_s_huashtakaata_slight-cough-fever_GCL|huashtakaata
2047_iisdutchiki_stuffy-nose_CGL|iisdutchiki
2047_s_iisdutchiki_stuffy-nose_CGL|iisdutchiki
2049_itchissaa_seriously-ill_CGL|itchissaa
2049_s_itchissaa_seriously-ill_CGL|itchissaa
2050_baailissheekaashi_seriously-ill_CGL|baailissheekaashi
2050_s_baailissheekaashi_seriously-ill_CGL|baailissheekaashi
2051_baakuhpakaashi_seriously-ill_CGL|baakuhpakaashi
2051_s_baakuhpakaashi_seriously-ill_CGL|baakuhpakaashi
2052_kammaaehcheleeta_loss-of-mind_CGL|kammaaehcheleeta
2053_itchissaakaashi_feels-funny_CGL|itchissaakaashi
2053_s_itchissaakaashi_feels-funny_CGL|itchissaakaashi
2054_baakuhpaata_often-sick_CGL|baakuhpaata
2055_uushaleeta_colicky_CGL|uushaleeta
2057_baaanneeiikuschi_outbreak-plague_CGL|baaanneeiikuschi
2057_s_baaanneeiikuschi_outbreak-plague_CGL|baaanneeiikuschi
2058_ammaalioashdeewialachi_hypochondriac_CGL|ammaalioashdeewialachi
2058_s_ammaalioashdeewialachi_hypochondriac_CGL|ammaalioashdeewialachi
2059_ammaalioashe-koola_patient_CGL|ammaalioashe koola
2059_s_ammaalioashe-koola_patient_CGL|ammaalioashe koola
2059.1_baaanneewishi_disease_CGL|baaanneewishi
2059.1_s_baaanneewishi_disease_CGL|baaanneewishi
2061_duuptaashbiixuua_colitis_CGL|duuptaashbiixuua
2061_s_duuptaashbiixuua_colitis_CGL|duuptaashbiixuua
2062_daaxo-anneewishi_diptheria_CGL|daaxo anneewishi
2062_s_daaxo-anneewishi_diptheria_CGL|daaxo anneewishi
2065_ahpalascheewe-alappushi_goiter_CGL|ahpalascheewe alappushi
2067_bachee-isaanniio_hernia_CGL|bachee isaanniio
2071_b_apdapushi_mumps_CGL|apdapushi
2071_s_b_apdapushi_mumps_CGL|apdapushi
2072_b_baachichehchessaa_amnesia_CGL|baachichehchessaa
02072_baachichehchessee_amnesia_FemaleCitation_CGL_2|baachichehchessee
02072_baachichehchessee_amnesia_FemaleStem_CGL_3|baachichehchessee
2072_s_b_baachichehchessaa_amnesia_CGL|baachichehchessaa
2073_b_baalashiichi-aadaasaxawii_depression_CGL|baalashiichi aadaasaxawii
2074_b_ishtaxawii_eye-disease_CGL|ishtaxawii
2075_b_ishta-iilappuushe_cataracts_CGL|ishta iilappuushe
02075_ishtaiilappuushe_cataracts_FemaleCitation_CGL_3|ishtaiilappuushe
2078_b_ammaluushdeeta_starvation_CGL|ammaluushdeeta
2079_b_baaluushkammissaa_not-enough-food_CGL|baaluushkammissaa
2082_b_oosheeleetee_no-food_CGL|oosheeleetee
2086_b_balikaadeeta_skinny-looks-like-a-stick_CGL|balikaadeeta
2087_b_huppiissaa_not-enough-food_CGL|huppiissaa
2087_s_b_huppiissaa_not-enough-food_CGL|huppiissaa
2090_b_baapuachichissaa_ulcer_CGL|baapuachichissaa
2097_b_uuwaooshee_canker_CGL|uuwaooshee
2098_b_axuaduhpapee_muscle-cramp_CGL|axuaduhpapee
2105_b_kammasapeessaa_close-to-death_CGL|kammasapeessaa
2108_b_ishbisheetbishi_worms_CGL|ishbisheetbishi
02113_aapchehiisee_talk-loud_AudioBank_CGL_1|aapchehiisee
02113_aapchehiisee_talk-loud_AudioBank_CGL_2|aapchehiisee
2122_b_iiaxuhta_tooth-decay_GCL|iiaxuhta
2124_b_iiaxakaahik_loose-tooth_GCL|iiaxakaahik
2124-1_b_iiashichi_tooth-comes-out_CGL 2|iiashichi
2124-1_b_iiashichi_tooth-comes-out_CGL|iiashichi
2124.1_b_iiashichi_tooth-comes-out_CGL|iiashichi
2129_b_iiliche_false-teeth_CGL|iiliche
2130_b_akiiahawassee_dentist_CGL|akiiahawassee
2134_b_cheetbache-isaanniio_Agent-Orange_CGL|cheetbache isaanniio
2137_b_diaxawiio_mistreat_CGL|diaxawiio
2138_b_kalihchiinnutchi_electricute_CGL|kalihchiinnutchi
02139_b_suuannutchik_struck-by-lightning_CGL|suuannutchik
02140_b_iixuucheek_assault-injury_CGL|iixuucheek
02150_aapchexawiia_rough-voice-gravely-voice_AudioBank_CGL_1|aapchexawiia
02150_aapchexawiia_rough-voice-gravely-voice_AudioBank_CGL_2|aapchexawiia
02161_b_biixeexiia_club_CGL|biixeexiia
02165_b_awaxaaxe_lacerate_CGL|awaxaaxe
02169_b_kakeiieelapiik_spear-someone_CGL|kakeiieelapiik
02170_b_chichibachik_traumatize_CGL|chichibachik
02172_b_balaxaachik_traumatize_CGL|balaxaachik
02175_b_iipinniiak_grazeknick_CGL|iipinniiak
02180_b_biishtachuusuuacheek_black-eye_CGL|biishtachuusuuacheek
02180_ishta-shuahche_black-eye_FemaleCitation_CGL_2|ishta shuahche
02180_ishtashuahche_black-eye_FemaleCitation_CGL_3|ishtashuahche
02180_ishtashuahche_black-eye_FemaleStem_CGL_2|ishtashuahche
02180_ishtashuahche_black-eye_FemaleStem_CGL_3|ishtashuahche
02180-1_b_aledummilik_twist-arm_CGL|aledummilik
02182_b_ammadubalake_twisted-neck_CGL|ammadubalake
02186_b_iichiiliiiilaachusiik_hit-with-a-horse-whip_CGL|iichiiliiiilaachusiik
02190_b_iisaudachik_slap_CGL|iisaudachik
02191_b_batsseechiliituu_smash_CGL|batsseechiliituu
